strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes,reason
boundary,2024-04-01T12:48:00+00:00,2024-04-01T13:14:00+00:00,sell,5315.75,5310.75,23.76,target,26,boundary_fade_orh
boundary,2024-04-02T13:24:00+00:00,2024-04-02T13:36:00+00:00,buy,5250.5,5248.25,-24.98,stop,12,boundary_fade_onl
boundary,2024-04-11T07:42:00+00:00,2024-04-11T08:48:00+00:00,buy,5203.5,5201.25,-24.98,stop,66,boundary_fade_orl
boundary,2024-04-16T03:34:00+00:00,2024-04-16T04:38:00+00:00,buy,5089.0,5094.0,23.76,target,64,boundary_fade_orl
boundary,2024-04-16T12:44:00+00:00,2024-04-16T12:50:00+00:00,sell,5118.5,5113.5,23.76,target,6,boundary_fade_onh
boundary,2024-04-18T10:28:00+00:00,2024-04-18T10:32:00+00:00,sell,5073.25,5075.75,-13.74,stop,4,boundary_fade_orh
boundary,2024-04-25T08:48:00+00:00,2024-04-25T10:16:00+00:00,sell,5080.5,5075.5,23.76,target,88,boundary_fade_onh
boundary,2024-04-30T09:46:00+00:00,2024-04-30T10:48:00+00:00,sell,5140.5,5142.25,-19.98,stop,62,boundary_fade_orh
boundary,2024-05-01T04:48:00+00:00,2024-05-01T06:04:00+00:00,sell,5065.0,5060.0,47.52,target,76,boundary_fade_onh
boundary,2024-05-03T07:38:00+00:00,2024-05-03T08:00:00+00:00,buy,5100.0,5105.0,47.52,target,22,boundary_fade_onl
boundary,2024-05-03T13:56:00+00:00,2024-05-03T14:00:00+00:00,sell,5159.5,5162.75,-17.49,stop,4,boundary_fade_orh
boundary,2024-05-06T00:36:00+00:00,2024-05-06T06:26:00+00:00,buy,5156.75,5161.75,47.52,target,350,boundary_fade_onl
boundary,2024-05-14T06:28:00+00:00,2024-05-14T07:04:00+00:00,buy,5245.0,5243.5,-17.48,stop,36,boundary_fade_orl
boundary,2024-05-16T13:18:00+00:00,2024-05-16T13:30:00+00:00,buy,5330.75,5335.75,23.76,target,12,boundary_fade_onl
boundary,2024-05-17T06:34:00+00:00,2024-05-17T08:02:00+00:00,sell,5323.5,5318.5,47.52,target,88,boundary_fade_orh
boundary,2024-05-17T08:30:00+00:00,2024-05-17T09:10:00+00:00,buy,5314.25,5319.25,47.52,target,40,boundary_fade_onl
boundary,2024-05-17T10:08:00+00:00,2024-05-17T11:34:00+00:00,buy,5317.75,5322.75,23.76,target,86,boundary_fade_orl
boundary,2024-05-17T12:44:00+00:00,2024-05-17T13:24:00+00:00,sell,5324.75,5319.75,47.52,target,40,boundary_fade_onh
boundary,2024-05-20T00:42:00+00:00,2024-05-20T07:10:00+00:00,sell,5335.75,5330.75,23.76,target,388,boundary_fade_onh
boundary,2024-05-22T08:00:00+00:00,2024-05-22T09:26:00+00:00,sell,5342.25,5337.25,47.52,target,86,boundary_fade_orh
boundary,2024-05-22T13:54:00+00:00,2024-05-22T14:00:00+00:00,sell,5341.75,5344.0,-24.98,stop,6,boundary_fade_orh
boundary,2024-05-22T22:24:00+00:00,2024-05-22T23:22:00+00:00,buy,5335.5,5340.5,23.76,target,58,boundary_fade_onl
boundary,2024-05-23T06:46:00+00:00,2024-05-23T08:42:00+00:00,sell,5357.0,5352.0,47.52,target,116,boundary_fade_orh
boundary,2024-05-24T12:42:00+00:00,2024-05-24T12:48:00+00:00,sell,5304.5,5299.5,23.76,target,6,boundary_fade_onh
boundary,2024-05-26T22:02:00+00:00,2024-05-26T23:26:00+00:00,sell,5323.25,5318.25,47.52,target,84,boundary_fade_onh
boundary,2024-05-27T12:16:00+00:00,2024-05-27T12:58:00+00:00,buy,5321.25,5318.5,-14.99,stop,42,boundary_fade_orl
boundary,2024-05-28T06:54:00+00:00,2024-05-28T07:00:00+00:00,sell,5331.0,5332.25,-22.47,stop,6,boundary_fade_orh
boundary,2024-05-28T07:38:00+00:00,2024-05-28T08:06:00+00:00,sell,5329.5,5332.25,-14.99,stop,28,boundary_fade_orh
boundary,2024-05-28T08:34:00+00:00,2024-05-28T10:20:00+00:00,sell,5337.0,5332.0,23.76,target,106,boundary_fade_onh
boundary,2024-05-30T01:54:00+00:00,2024-05-30T02:24:00+00:00,buy,5264.75,5262.25,-13.74,stop,30,boundary_fade_orl
boundary,2024-06-02T22:44:00+00:00,2024-06-02T23:26:00+00:00,buy,5296.25,5301.25,23.76,target,42,boundary_fade_orl
boundary,2024-06-04T07:36:00+00:00,2024-06-04T07:40:00+00:00,sell,5286.5,5289.25,-14.99,stop,4,boundary_fade_orh
boundary,2024-06-05T13:08:00+00:00,2024-06-05T13:30:00+00:00,sell,5326.75,5321.75,47.52,target,22,boundary_fade_orh
boundary,2024-06-10T09:06:00+00:00,2024-06-10T09:22:00+00:00,buy,5342.75,5340.0,-14.99,stop,16,boundary_fade_orl
boundary,2024-06-19T01:18:00+00:00,2024-06-19T10:54:00+00:00,buy,5560.75,5565.75,47.52,target,576,boundary_fade_onl
boundary,2024-06-21T05:30:00+00:00,2024-06-21T07:02:00+00:00,sell,5549.5,5544.5,47.52,target,92,boundary_fade_onh
boundary,2024-06-25T13:06:00+00:00,2024-06-25T13:14:00+00:00,sell,5527.25,5529.25,-22.48,stop,8,boundary_fade_orh
boundary,2024-06-28T02:16:00+00:00,2024-06-28T04:52:00+00:00,sell,5562.5,5557.5,47.52,target,156,boundary_fade_orh
boundary,2024-06-28T06:28:00+00:00,2024-06-28T08:10:00+00:00,sell,5562.0,5557.0,23.76,target,102,boundary_fade_orh
boundary,2024-07-03T01:12:00+00:00,2024-07-03T01:34:00+00:00,buy,5564.0,5562.75,-22.47,stop,22,boundary_fade_orl
boundary,2024-07-03T06:42:00+00:00,2024-07-03T08:38:00+00:00,buy,5564.5,5569.5,47.52,target,116,boundary_fade_orl
boundary,2024-07-04T01:14:00+00:00,2024-07-04T08:28:00+00:00,buy,5589.25,5594.25,47.52,target,434,boundary_fade_orl
boundary,2024-07-04T12:10:00+00:00,2024-07-04T13:00:00+00:00,sell,5595.25,5596.5,-22.47,stop,50,boundary_fade_orh
boundary,2024-07-09T08:16:00+00:00,2024-07-09T12:26:00+00:00,sell,5638.5,5633.5,23.76,target,250,boundary_fade_onh
boundary,2024-07-10T12:10:00+00:00,2024-07-10T13:34:00+00:00,sell,5646.0,5641.0,47.52,target,84,boundary_fade_orh
boundary,2024-07-12T13:58:00+00:00,2024-07-12T14:00:00+00:00,sell,5658.5,5662.0,-18.74,stop,2,boundary_fade_orh
boundary,2024-07-19T01:04:00+00:00,2024-07-19T05:56:00+00:00,sell,5602.75,5605.5,-14.99,stop,292,boundary_fade_orh
boundary,2024-07-25T00:56:00+00:00,2024-07-25T01:40:00+00:00,sell,5488.75,5483.75,47.52,target,44,boundary_fade_onh
boundary,2024-07-26T11:52:00+00:00,2024-07-26T12:06:00+00:00,sell,5486.75,5488.75,-22.48,stop,14,boundary_fade_orh
boundary,2024-07-30T10:58:00+00:00,2024-07-30T12:22:00+00:00,buy,5513.0,5510.75,-24.98,stop,84,boundary_fade_orl
boundary,2024-07-31T13:12:00+00:00,2024-07-31T13:26:00+00:00,sell,5546.75,5541.75,47.52,target,14,boundary_fade_onh
boundary,2024-08-06T09:40:00+00:00,2024-08-06T09:42:00+00:00,buy,5229.5,5234.5,23.76,target,2,boundary_fade_onl
boundary,2024-08-14T13:58:00+00:00,2024-08-14T14:00:00+00:00,buy,5452.75,5449.5,-17.49,stop,2,boundary_fade_orl
boundary,2024-08-21T11:30:00+00:00,2024-08-21T12:30:00+00:00,buy,5628.75,5633.75,47.52,target,60,boundary_fade_orl
boundary,2024-08-22T13:18:00+00:00,2024-08-22T13:30:00+00:00,sell,5657.25,5660.0,-14.99,stop,12,boundary_fade_onh
boundary,2024-08-23T12:58:00+00:00,2024-08-23T13:30:00+00:00,sell,5628.25,5623.25,23.76,target,32,boundary_fade_orh
boundary,2024-08-29T12:14:00+00:00,2024-08-29T12:28:00+00:00,buy,5622.5,5627.5,23.76,target,14,boundary_fade_orl
boundary,2024-09-16T19:44:00+00:00,2024-09-16T19:52:00+00:00,sell,5698.0,5700.25,-24.98,stop,8,boundary_fade_onh
boundary,2024-09-17T13:06:00+00:00,2024-09-17T13:30:00+00:00,sell,5724.5,5719.5,23.76,target,24,boundary_fade_orh
boundary,2024-09-19T22:08:00+00:00,2024-09-19T22:38:00+00:00,sell,5776.0,5771.0,47.52,target,30,boundary_fade_onh
boundary,2024-09-20T08:46:00+00:00,2024-09-20T09:12:00+00:00,sell,5766.0,5768.25,-24.98,stop,26,boundary_fade_orh
boundary,2024-09-24T08:50:00+00:00,2024-09-24T09:20:00+00:00,sell,5792.0,5787.0,23.76,target,30,boundary_fade_onh
boundary,2024-09-24T13:58:00+00:00,2024-09-24T14:00:00+00:00,buy,5773.5,5770.0,-18.74,stop,2,boundary_fade_orl
boundary,2024-09-30T10:12:00+00:00,2024-09-30T10:34:00+00:00,sell,5789.5,5784.5,23.76,target,22,boundary_fade_orh
boundary,2024-10-08T12:50:00+00:00,2024-10-08T13:28:00+00:00,buy,5765.25,5770.25,23.76,target,38,boundary_fade_orl
boundary,2024-10-09T08:28:00+00:00,2024-10-09T08:40:00+00:00,buy,5783.25,5788.25,23.76,target,12,boundary_fade_onl
boundary,2024-10-11T13:18:00+00:00,2024-10-11T13:30:00+00:00,buy,5825.5,5830.5,23.76,target,12,boundary_fade_orl
boundary,2024-10-21T08:40:00+00:00,2024-10-21T08:56:00+00:00,sell,5903.5,5905.75,-24.98,stop,16,boundary_fade_orh
boundary,2024-10-28T01:08:00+00:00,2024-10-28T02:24:00+00:00,sell,5879.0,5874.0,23.76,target,76,boundary_fade_orh
boundary,2024-10-28T06:08:00+00:00,2024-10-28T06:46:00+00:00,buy,5869.25,5874.25,23.76,target,38,boundary_fade_orl
boundary,2024-11-01T12:44:00+00:00,2024-11-01T13:04:00+00:00,sell,5768.0,5763.0,23.76,target,20,boundary_fade_onh
boundary,2024-11-04T02:06:00+00:00,2024-11-04T02:24:00+00:00,sell,5760.75,5762.75,-22.48,stop,18,boundary_fade_orh
boundary,2024-11-04T06:18:00+00:00,2024-11-04T07:22:00+00:00,sell,5775.25,5770.25,47.52,target,64,boundary_fade_onh
boundary,2024-11-08T09:30:00+00:00,2024-11-08T10:08:00+00:00,sell,6008.75,6003.75,47.52,target,38,boundary_fade_onh
boundary,2024-11-11T02:48:00+00:00,2024-11-11T05:10:00+00:00,buy,6032.5,6037.5,47.52,target,142,boundary_fade_orl
boundary,2024-11-14T08:32:00+00:00,2024-11-14T08:34:00+00:00,sell,6019.25,6021.5,-24.98,stop,2,boundary_fade_orh
boundary,2024-11-14T09:10:00+00:00,2024-11-14T09:52:00+00:00,sell,6023.25,6018.25,23.76,target,42,boundary_fade_onh
boundary,2024-11-14T10:14:00+00:00,2024-11-14T10:30:00+00:00,sell,6019.5,6021.5,-22.48,stop,16,boundary_fade_orh
boundary,2024-11-20T08:22:00+00:00,2024-11-20T08:42:00+00:00,sell,5956.5,5951.5,47.52,target,20,boundary_fade_onh
boundary,2024-11-29T02:32:00+00:00,2024-11-29T03:08:00+00:00,sell,6032.0,6034.0,-22.48,stop,36,boundary_fade_orh
boundary,2024-11-29T04:44:00+00:00,2024-11-29T06:52:00+00:00,sell,6034.0,6029.0,23.76,target,128,boundary_fade_onh
boundary,2024-11-29T09:38:00+00:00,2024-11-29T12:42:00+00:00,sell,6034.0,6029.0,23.76,target,184,boundary_fade_onh
boundary,2024-12-10T04:16:00+00:00,2024-12-10T05:30:00+00:00,buy,6062.25,6060.0,-24.98,stop,74,boundary_fade_orl
boundary,2024-12-10T13:06:00+00:00,2024-12-10T13:54:00+00:00,sell,6070.5,6065.5,23.76,target,48,boundary_fade_orh
boundary,2024-12-11T23:22:00+00:00,2024-12-12T00:00:00+00:00,buy,6086.5,6091.5,47.52,target,38,boundary_fade_onl
boundary,2024-12-12T14:56:00+00:00,2024-12-12T15:08:00+00:00,buy,6142.0,6140.0,-22.48,stop,12,boundary_fade_orl
boundary,2024-12-17T03:28:00+00:00,2024-12-17T05:38:00+00:00,sell,6151.75,6146.75,47.52,target,130,boundary_fade_onh
boundary,2024-12-18T13:26:00+00:00,2024-12-18T13:40:00+00:00,sell,6145.75,6140.75,23.76,target,14,boundary_fade_onh
boundary,2024-12-20T12:26:00+00:00,2024-12-20T12:32:00+00:00,buy,5867.25,5872.25,23.76,target,6,boundary_fade_onl
boundary,2024-12-26T04:00:00+00:00,2024-12-26T06:54:00+00:00,sell,6104.75,6099.75,47.52,target,174,boundary_fade_onh
boundary,2025-01-02T12:16:00+00:00,2025-01-02T12:40:00+00:00,sell,5993.5,5988.5,23.76,target,24,boundary_fade_onh
boundary,2025-01-06T13:56:00+00:00,2025-01-06T14:14:00+00:00,sell,6039.75,6034.75,23.76,target,18,boundary_fade_onh
boundary,2025-01-08T10:48:00+00:00,2025-01-08T11:20:00+00:00,sell,5973.5,5968.5,23.76,target,32,boundary_fade_onh
boundary,2025-01-08T23:26:00+00:00,2025-01-08T23:48:00+00:00,sell,5956.0,5951.0,47.52,target,22,boundary_fade_onh
boundary,2025-01-12T23:34:00+00:00,2025-01-12T23:48:00+00:00,sell,5866.25,5861.25,23.76,target,14,boundary_fade_onh
boundary,2025-01-13T00:08:00+00:00,2025-01-13T00:38:00+00:00,sell,5865.5,5860.5,23.76,target,30,boundary_fade_onh
boundary,2025-01-13T09:50:00+00:00,2025-01-13T10:14:00+00:00,buy,5810.75,5815.75,23.76,target,24,boundary_fade_onl
boundary,2025-01-23T14:10:00+00:00,2025-01-23T14:40:00+00:00,buy,6113.25,6118.25,23.76,target,30,boundary_fade_orl
boundary,2025-01-24T03:00:00+00:00,2025-01-24T03:24:00+00:00,sell,6154.5,6149.5,23.76,target,24,boundary_fade_onh
boundary,2025-01-29T13:50:00+00:00,2025-01-29T14:00:00+00:00,buy,6081.25,6086.25,23.76,target,10,boundary_fade_onl
boundary,2025-01-29T14:22:00+00:00,2025-01-29T14:30:00+00:00,sell,6089.0,6084.0,23.76,target,8,boundary_fade_orh
boundary,2025-01-31T12:20:00+00:00,2025-01-31T13:00:00+00:00,sell,6129.25,6124.25,47.52,target,40,boundary_fade_onh
boundary,2025-02-05T00:40:00+00:00,2025-02-05T01:30:00+00:00,sell,6051.5,6046.5,23.76,target,50,boundary_fade_onh
boundary,2025-02-05T23:34:00+00:00,2025-02-06T00:02:00+00:00,buy,6087.25,6092.25,47.52,target,28,boundary_fade_onl
boundary,2025-02-06T09:08:00+00:00,2025-02-06T09:48:00+00:00,sell,6103.5,6098.5,23.76,target,40,boundary_fade_orh
boundary,2025-02-06T12:04:00+00:00,2025-02-06T12:38:00+00:00,buy,6087.5,6092.5,23.76,target,34,boundary_fade_onl
boundary,2025-02-10T21:22:00+00:00,2025-02-10T21:46:00+00:00,sell,6086.0,6088.0,-22.48,stop,24,boundary_fade_onh
boundary,2025-02-13T23:36:00+00:00,2025-02-14T01:08:00+00:00,buy,6133.25,6138.25,47.52,target,92,boundary_fade_orl
boundary,2025-02-14T10:08:00+00:00,2025-02-14T10:12:00+00:00,buy,6133.0,6131.5,-17.48,stop,4,boundary_fade_orl
boundary,2025-02-17T04:48:00+00:00,2025-02-17T04:54:00+00:00,sell,6143.5,6145.0,-17.48,stop,6,boundary_fade_orh
boundary,2025-02-17T09:58:00+00:00,2025-02-17T11:02:00+00:00,sell,6143.25,6145.0,-19.98,stop,64,boundary_fade_orh
boundary,2025-02-18T13:44:00+00:00,2025-02-18T14:24:00+00:00,sell,6156.0,6151.0,23.76,target,40,boundary_fade_onh
boundary,2025-02-20T02:14:00+00:00,2025-02-20T04:04:00+00:00,sell,6149.0,6144.0,47.52,target,110,boundary_fade_orh
boundary,2025-02-25T21:38:00+00:00,2025-02-25T21:56:00+00:00,buy,5979.0,5976.25,-14.99,stop,18,boundary_fade_onl
boundary,2025-02-26T13:32:00+00:00,2025-02-26T13:44:00+00:00,sell,6003.25,5998.25,47.52,target,12,boundary_fade_onh
boundary,2025-03-13T00:00:00+00:00,2025-03-13T00:30:00+00:00,sell,5672.75,5667.75,23.76,target,30,boundary_fade_onh
boundary,2025-03-17T22:36:00+00:00,2025-03-17T23:14:00+00:00,sell,5737.25,5732.25,47.52,target,38,boundary_fade_onh
