strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes,reason
gap_fill,2024-04-03T13:30:00+00:00,2024-04-03T14:00:00+00:00,buy,5250.75,5262.25,56.26,target,30,gap_fill_long_g-01450
gap_fill,2024-04-05T13:30:00+00:00,2024-04-05T13:54:00+00:00,sell,5215.0,5229.0,-71.24,stop,24,gap_fill_short_g+01400
gap_fill,2024-04-09T13:30:00+00:00,2024-04-09T13:48:00+00:00,sell,5271.25,5256.5,72.51,target,18,gap_fill_short_g+01525
gap_fill,2024-04-11T13:30:00+00:00,2024-04-11T13:40:00+00:00,sell,5212.0,5203.75,40.01,target,10,gap_fill_short_g+01475
gap_fill,2024-04-18T13:30:00+00:00,2024-04-18T13:34:00+00:00,sell,5070.75,5061.25,46.26,target,4,gap_fill_short_g+01225
gap_fill,2024-04-29T13:30:00+00:00,2024-04-29T18:00:00+00:00,sell,5150.75,5148.5,10.01,force_close_session,270,gap_fill_short_g+01550
gap_fill,2024-04-30T13:30:00+00:00,2024-04-30T15:12:00+00:00,buy,5127.75,5111.25,-83.74,stop,102,gap_fill_long_g-01650
gap_fill,2024-05-06T13:30:00+00:00,2024-05-06T18:00:00+00:00,sell,5175.75,5190.0,-72.49,force_close_session,270,gap_fill_short_g+01725
gap_fill,2024-05-08T13:30:00+00:00,2024-05-08T14:42:00+00:00,buy,5197.0,5211.75,72.51,target,72,gap_fill_long_g-01950
gap_fill,2024-05-10T13:30:00+00:00,2024-05-10T14:52:00+00:00,sell,5254.0,5240.75,65.01,target,82,gap_fill_short_g+01475
gap_fill,2024-05-24T13:30:00+00:00,2024-05-24T15:04:00+00:00,sell,5304.0,5322.5,-93.74,stop,94,gap_fill_short_g+01850
gap_fill,2024-06-03T13:30:00+00:00,2024-06-03T13:54:00+00:00,sell,5308.75,5299.5,45.01,target,24,gap_fill_short_g+01250
gap_fill,2024-06-04T13:30:00+00:00,2024-06-04T18:00:00+00:00,buy,5283.75,5288.5,22.51,force_close_session,270,gap_fill_long_g-01500
gap_fill,2024-06-11T13:30:00+00:00,2024-06-11T13:48:00+00:00,buy,5349.0,5334.75,-72.49,stop,18,gap_fill_long_g-01425
gap_fill,2024-06-14T13:30:00+00:00,2024-06-14T18:00:00+00:00,buy,5484.0,5492.0,38.76,force_close_session,270,gap_fill_long_g-01775
gap_fill,2024-06-26T13:30:00+00:00,2024-06-26T15:50:00+00:00,buy,5518.75,5535.5,82.51,target,140,gap_fill_long_g-01225
gap_fill,2024-07-02T13:30:00+00:00,2024-07-02T13:40:00+00:00,buy,5519.25,5532.25,63.76,target,10,gap_fill_long_g-01600
gap_fill,2024-07-08T13:30:00+00:00,2024-07-08T18:00:00+00:00,sell,5631.0,5626.5,21.26,force_close_session,270,gap_fill_short_g+01375
gap_fill,2024-07-19T13:30:00+00:00,2024-07-19T13:40:00+00:00,buy,5583.5,5600.0,81.26,target,10,gap_fill_long_g-01275
gap_fill,2024-07-29T13:30:00+00:00,2024-07-29T13:44:00+00:00,sell,5503.5,5518.75,-77.49,stop,14,gap_fill_short_g+01525
gap_fill,2024-07-30T13:30:00+00:00,2024-07-30T14:02:00+00:00,sell,5520.0,5504.5,76.26,target,32,gap_fill_short_g+01200
gap_fill,2024-08-06T13:30:00+00:00,2024-08-06T13:32:00+00:00,buy,5236.25,5247.75,56.26,target,2,gap_fill_long_g-01250
gap_fill,2024-08-09T13:30:00+00:00,2024-08-09T13:46:00+00:00,buy,5341.5,5327.5,-71.24,stop,16,gap_fill_long_g-01400
gap_fill,2024-08-12T13:30:00+00:00,2024-08-12T13:42:00+00:00,sell,5379.5,5365.0,71.26,target,12,gap_fill_short_g+01600
gap_fill,2024-08-16T13:30:00+00:00,2024-08-16T14:02:00+00:00,buy,5552.5,5566.75,70.01,target,32,gap_fill_long_g-01725
gap_fill,2024-08-22T13:30:00+00:00,2024-08-22T14:10:00+00:00,sell,5662.0,5641.25,102.51,target,40,gap_fill_short_g+01750
gap_fill,2024-08-30T13:30:00+00:00,2024-08-30T14:00:00+00:00,sell,5631.0,5644.25,-67.49,stop,30,gap_fill_short_g+01325
gap_fill,2024-09-04T13:30:00+00:00,2024-09-04T13:40:00+00:00,buy,5524.25,5538.0,67.51,target,10,gap_fill_long_g-01500
gap_fill,2024-09-20T13:30:00+00:00,2024-09-20T14:12:00+00:00,buy,5760.75,5746.75,-71.24,stop,42,gap_fill_long_g-01400
gap_fill,2024-09-23T13:30:00+00:00,2024-09-23T18:00:00+00:00,sell,5769.0,5773.0,-21.24,force_close_session,270,gap_fill_short_g+01600
gap_fill,2024-10-07T13:30:00+00:00,2024-10-07T17:50:00+00:00,buy,5781.75,5768.5,-67.49,stop,260,gap_fill_long_g-01325
gap_fill,2024-10-18T13:30:00+00:00,2024-10-18T13:34:00+00:00,sell,5892.75,5887.75,23.76,target,4,gap_fill_short_g+01375
gap_fill,2024-10-23T13:30:00+00:00,2024-10-23T15:12:00+00:00,buy,5870.75,5854.0,-84.99,stop,102,gap_fill_long_g-01675
gap_fill,2024-10-24T13:30:00+00:00,2024-10-24T14:50:00+00:00,sell,5848.5,5841.75,32.51,target,80,gap_fill_short_g+01525
gap_fill,2024-10-25T13:30:00+00:00,2024-10-25T14:02:00+00:00,sell,5879.0,5896.0,-86.24,stop,32,gap_fill_short_g+01700
gap_fill,2024-10-29T13:30:00+00:00,2024-10-29T14:22:00+00:00,buy,5845.0,5864.25,95.01,target,52,gap_fill_long_g-01225
gap_fill,2024-10-30T13:30:00+00:00,2024-10-30T13:40:00+00:00,buy,5865.5,5853.25,-62.49,stop,10,gap_fill_long_g-01225
gap_fill,2024-11-11T14:30:00+00:00,2024-11-11T18:00:00+00:00,sell,6044.5,6023.25,105.01,target,210,gap_fill_short_g+01900
gap_fill,2024-12-04T14:30:00+00:00,2024-12-04T19:00:00+00:00,sell,6080.0,6083.0,-16.24,force_close_session,270,gap_fill_short_g+01275
gap_fill,2024-12-13T14:30:00+00:00,2024-12-13T15:40:00+00:00,sell,6141.5,6125.75,77.51,target,70,gap_fill_short_g+01925
gap_fill,2024-12-24T14:30:00+00:00,2024-12-24T14:40:00+00:00,sell,6043.75,6056.0,-62.49,stop,10,gap_fill_short_g+01225
gap_fill,2024-12-31T14:30:00+00:00,2024-12-31T16:02:00+00:00,sell,5973.25,5954.25,93.76,target,92,gap_fill_short_g+01825
gap_fill,2025-01-07T14:30:00+00:00,2025-01-07T15:00:00+00:00,sell,6043.25,6028.25,73.76,target,30,gap_fill_short_g+01375
gap_fill,2025-01-16T14:30:00+00:00,2025-01-16T14:46:00+00:00,sell,5993.75,5987.5,30.01,target,16,gap_fill_short_g+01450
gap_fill,2025-01-30T14:30:00+00:00,2025-01-30T14:48:00+00:00,sell,6091.75,6105.0,-67.49,stop,18,gap_fill_short_g+01325
gap_fill,2025-02-06T14:30:00+00:00,2025-02-06T15:38:00+00:00,sell,6099.0,6089.75,45.01,target,68,gap_fill_short_g+01400
gap_fill,2025-02-07T14:30:00+00:00,2025-02-07T15:00:00+00:00,sell,6113.75,6094.25,96.26,target,30,gap_fill_short_g+01625
gap_fill,2025-03-19T13:30:00+00:00,2025-03-19T13:54:00+00:00,sell,5683.25,5701.25,-91.24,stop,24,gap_fill_short_g+01800
gap_fill,2025-03-25T13:30:00+00:00,2025-03-25T13:50:00+00:00,sell,5826.75,5813.0,67.51,target,20,gap_fill_short_g+01300
gap_fill,2025-03-28T13:30:00+00:00,2025-03-28T14:00:00+00:00,buy,5716.75,5698.5,-92.49,stop,30,gap_fill_long_g-01825
gap_fill,2025-04-15T13:30:00+00:00,2025-04-15T13:38:00+00:00,sell,5449.5,5467.0,-88.74,stop,8,gap_fill_short_g+01750
gap_fill,2025-04-29T13:30:00+00:00,2025-04-29T13:42:00+00:00,buy,5538.5,5545.25,32.51,target,12,gap_fill_long_g-01425
gap_fill,2025-05-09T13:30:00+00:00,2025-05-09T14:26:00+00:00,sell,5705.0,5684.75,100.01,target,56,gap_fill_short_g+01500
gap_fill,2025-05-14T13:30:00+00:00,2025-05-14T13:48:00+00:00,sell,5916.75,5900.75,78.76,target,18,gap_fill_short_g+01225
gap_fill,2025-05-15T13:30:00+00:00,2025-05-15T15:04:00+00:00,buy,5894.5,5906.0,56.26,target,94,gap_fill_long_g-01700
gap_fill,2025-05-20T13:30:00+00:00,2025-05-20T18:00:00+00:00,buy,5965.5,5961.0,-23.74,force_close_session,270,gap_fill_long_g-01875
gap_fill,2025-06-02T13:30:00+00:00,2025-06-02T13:32:00+00:00,buy,5904.75,5913.75,43.76,target,2,gap_fill_long_g-01625
gap_fill,2025-06-05T13:30:00+00:00,2025-06-05T13:38:00+00:00,sell,5987.5,5977.0,51.26,target,8,gap_fill_short_g+01800
gap_fill,2025-06-11T13:30:00+00:00,2025-06-11T13:46:00+00:00,sell,6044.25,6040.5,17.51,target,16,gap_fill_short_g+01500
gap_fill,2025-06-25T13:30:00+00:00,2025-06-25T15:32:00+00:00,sell,6156.0,6143.0,63.76,target,122,gap_fill_short_g+01200
gap_fill,2025-06-26T13:30:00+00:00,2025-06-26T16:22:00+00:00,sell,6168.0,6187.5,-98.74,stop,172,gap_fill_short_g+01950
gap_fill,2025-07-03T13:30:00+00:00,2025-07-03T13:54:00+00:00,sell,6299.25,6314.75,-78.74,stop,24,gap_fill_short_g+01550
gap_fill,2025-07-08T13:30:00+00:00,2025-07-08T14:54:00+00:00,sell,6276.5,6263.25,65.01,target,84,gap_fill_short_g+01775
gap_fill,2025-07-29T13:30:00+00:00,2025-07-29T14:44:00+00:00,sell,6436.0,6424.5,56.26,target,74,gap_fill_short_g+01250
gap_fill,2025-08-14T13:30:00+00:00,2025-08-14T14:18:00+00:00,buy,6465.25,6484.25,93.76,target,48,gap_fill_long_g-01675
gap_fill,2025-08-21T13:30:00+00:00,2025-08-21T18:00:00+00:00,buy,6385.75,6391.5,27.51,force_close_session,270,gap_fill_long_g-01950
gap_fill,2025-08-22T13:30:00+00:00,2025-08-22T13:44:00+00:00,sell,6407.75,6424.5,-84.99,stop,14,gap_fill_short_g+01675
gap_fill,2025-08-25T13:30:00+00:00,2025-08-25T18:00:00+00:00,buy,6468.25,6474.5,30.01,force_close_session,270,gap_fill_long_g-01475
gap_fill,2025-08-27T13:30:00+00:00,2025-08-27T14:14:00+00:00,buy,6478.75,6487.25,41.26,target,44,gap_fill_long_g-01325
gap_fill,2025-08-28T13:30:00+00:00,2025-08-28T13:50:00+00:00,sell,6505.5,6485.25,100.01,target,20,gap_fill_short_g+01475
gap_fill,2025-08-29T13:30:00+00:00,2025-08-29T13:50:00+00:00,buy,6501.5,6484.0,-88.74,stop,20,gap_fill_long_g-01750
gap_fill,2025-09-08T13:30:00+00:00,2025-09-08T18:00:00+00:00,sell,6501.25,6494.0,35.01,force_close_session,270,gap_fill_short_g+01550
gap_fill,2025-09-22T13:30:00+00:00,2025-09-22T14:02:00+00:00,buy,6710.25,6719.75,46.26,target,32,gap_fill_long_g-01375
gap_fill,2025-10-01T13:30:00+00:00,2025-10-01T13:38:00+00:00,buy,6717.25,6724.5,35.01,target,8,gap_fill_long_g-01775
gap_fill,2025-10-16T13:30:00+00:00,2025-10-16T15:30:00+00:00,sell,6737.75,6713.5,120.01,target,120,gap_fill_short_g+01775
gap_fill,2025-10-29T13:30:00+00:00,2025-10-29T18:00:00+00:00,sell,6940.75,6934.0,32.51,force_close_session,270,gap_fill_short_g+01450
gap_fill,2025-11-06T14:30:00+00:00,2025-11-06T14:50:00+00:00,buy,6815.5,6800.5,-76.24,stop,20,gap_fill_long_g-01500
gap_fill,2025-11-11T14:30:00+00:00,2025-11-11T15:18:00+00:00,buy,6846.75,6832.0,-74.99,stop,48,gap_fill_long_g-01475
gap_fill,2025-11-12T14:30:00+00:00,2025-11-12T14:54:00+00:00,sell,6884.25,6874.0,50.01,target,24,gap_fill_short_g+01725
gap_fill,2025-11-19T14:30:00+00:00,2025-11-19T14:36:00+00:00,sell,6641.5,6656.25,-74.99,stop,6,gap_fill_short_g+01475
gap_fill,2025-12-01T14:30:00+00:00,2025-12-01T14:48:00+00:00,buy,6815.75,6830.0,70.01,target,18,gap_fill_long_g-01650
gap_fill,2025-12-02T14:30:00+00:00,2025-12-02T16:02:00+00:00,sell,6845.0,6862.5,-88.74,stop,92,gap_fill_short_g+01750
gap_fill,2025-12-03T14:30:00+00:00,2025-12-03T15:02:00+00:00,buy,6829.75,6842.75,63.76,target,32,gap_fill_long_g-01325
gap_fill,2025-12-09T14:30:00+00:00,2025-12-09T14:56:00+00:00,buy,6850.5,6864.25,67.51,target,26,gap_fill_long_g-01375
gap_fill,2025-12-17T14:30:00+00:00,2025-12-17T14:42:00+00:00,sell,6867.5,6848.25,95.01,target,12,gap_fill_short_g+01725
gap_fill,2026-01-08T14:30:00+00:00,2026-01-08T14:44:00+00:00,buy,6953.75,6940.5,-67.49,stop,14,gap_fill_long_g-01325
gap_fill,2026-01-16T14:30:00+00:00,2026-01-16T14:56:00+00:00,sell,6998.75,6983.5,75.01,target,26,gap_fill_short_g+01300
gap_fill,2026-01-21T14:30:00+00:00,2026-01-21T14:48:00+00:00,sell,6852.75,6868.25,-78.74,stop,18,gap_fill_short_g+01550
gap_fill,2026-01-27T14:30:00+00:00,2026-01-27T15:36:00+00:00,sell,6991.75,7009.0,-87.49,stop,66,gap_fill_short_g+01725
gap_fill,2026-01-28T14:30:00+00:00,2026-01-28T15:44:00+00:00,sell,7028.5,7009.25,95.01,target,74,gap_fill_short_g+01350
gap_fill,2026-02-02T14:30:00+00:00,2026-02-02T14:34:00+00:00,buy,6950.75,6961.25,51.26,target,4,gap_fill_long_g-01775
gap_fill,2026-02-12T14:30:00+00:00,2026-02-12T14:58:00+00:00,sell,6980.75,6963.0,87.51,target,28,gap_fill_short_g+01850
gap_fill,2026-02-16T14:30:00+00:00,2026-02-16T15:32:00+00:00,sell,6859.75,6845.75,68.76,target,62,gap_fill_short_g+01325
gap_fill,2026-02-20T14:30:00+00:00,2026-02-20T14:36:00+00:00,buy,6851.5,6872.0,101.26,target,6,gap_fill_long_g-01925
gap_fill,2026-02-23T14:30:00+00:00,2026-02-23T14:32:00+00:00,buy,6918.75,6924.75,28.76,target,2,gap_fill_long_g-01675
gap_fill,2026-02-26T14:30:00+00:00,2026-02-26T14:42:00+00:00,buy,6954.5,6940.25,-72.49,stop,12,gap_fill_long_g-01425
gap_fill,2026-03-25T13:30:00+00:00,2026-03-25T13:50:00+00:00,sell,6674.75,6647.25,136.26,target,20,gap_fill_short_g+01450
gap_fill,2026-04-10T13:30:00+00:00,2026-04-10T15:52:00+00:00,sell,6878.25,6860.5,87.51,target,142,gap_fill_short_g+01450
gap_fill,2026-04-16T13:30:00+00:00,2026-04-16T13:52:00+00:00,sell,7068.0,7058.25,47.51,target,22,gap_fill_short_g+01325
gap_fill,2026-04-20T13:30:00+00:00,2026-04-20T14:50:00+00:00,buy,7149.0,7133.5,-78.74,stop,80,gap_fill_long_g-01550
gap_fill,2026-04-23T13:30:00+00:00,2026-04-23T13:46:00+00:00,buy,7155.25,7164.5,45.01,target,16,gap_fill_long_g-01225
