min_gap_points,stop_gap_multiple,n,net_pnl,win_rate,profit_factor,avg_pnl,max_win,max_loss,bar1_n,bar1_net,bar1_wr,elapsed_s
2.0,0.5,366,-1128.71,0.372,0.94,-3.08,420.14,-104.88,63,-3276.09,0.222,0.9
2.0,1.0,240,831.06,0.55,1.1,3.46,240.08,-99.98,34,-1120.13,0.441,0.8
2.0,1.5,155,370.16,0.6,1.08,2.39,292.56,-101.22,17,-57.15,0.765,0.8
4.0,0.5,342,-35.11,0.386,1.0,-0.1,385.07,-101.22,46,-1757.95,0.283,0.8
4.0,1.0,216,1199.66,0.569,1.17,5.55,240.03,-99.98,24,-410.71,0.542,0.8
4.0,1.5,131,184.25,0.611,1.05,1.41,160.02,-101.22,12,175.16,0.917,0.9
6.0,0.5,317,445.66,0.397,1.03,1.41,247.53,-101.22,33,-1343.86,0.303,1.0
6.0,1.0,191,1515.07,0.592,1.27,7.93,240.03,-99.98,14,-48.54,0.714,0.9
6.0,1.5,106,618.68,0.642,1.23,5.84,160.02,-99.98,8,107.58,1.0,1.0
8.0,0.5,288,352.97,0.396,1.03,1.23,247.53,-101.22,20,-706.98,0.3,0.8
8.0,1.0,162,1489.4,0.605,1.33,9.19,165.02,-99.98,9,-43.64,0.667,0.8
8.0,1.5,77,604.52,0.662,1.33,7.85,102.51,-93.74,4,75.04,1.0,0.8
