strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes,reason
orb_30,2024-04-01T14:18:00+00:00,2024-04-01T14:30:00+00:00,sell,5302.75,5303.0,-4.98,force_close_session,12,orb30_short
orb_30,2024-04-02T14:12:00+00:00,2024-04-02T14:30:00+00:00,sell,5236.25,5242.25,-31.24,force_close_session,18,orb30_short
orb_30,2024-04-03T14:00:00+00:00,2024-04-03T14:30:00+00:00,buy,5267.75,5275.0,35.01,force_close_session,30,orb30_long
orb_30,2024-04-08T14:26:00+00:00,2024-04-08T14:30:00+00:00,buy,5261.25,5262.0,5.02,force_close_session,4,orb30_long
orb_30,2024-04-09T14:10:00+00:00,2024-04-09T14:30:00+00:00,sell,5253.25,5237.0,80.01,target,20,orb30_short
orb_30,2024-04-10T14:18:00+00:00,2024-04-10T14:30:00+00:00,buy,5213.5,5211.5,-11.24,force_close_session,12,orb30_long
orb_30,2024-04-11T14:00:00+00:00,2024-04-11T14:30:00+00:00,sell,5198.25,5187.0,55.01,force_close_session,30,orb30_short
orb_30,2024-04-12T14:08:00+00:00,2024-04-12T14:30:00+00:00,sell,5200.0,5198.0,17.52,force_close_session,22,orb30_short
orb_30,2024-04-15T14:06:00+00:00,2024-04-15T14:10:00+00:00,sell,5198.75,5185.5,130.02,target,4,orb30_short
orb_30,2024-04-17T14:00:00+00:00,2024-04-17T14:22:00+00:00,sell,5104.25,5091.5,125.02,target,22,orb30_short
orb_30,2024-04-18T14:26:00+00:00,2024-04-18T14:30:00+00:00,buy,5075.5,5074.25,-7.49,force_close_session,4,orb30_long
orb_30,2024-04-19T14:14:00+00:00,2024-04-19T14:30:00+00:00,sell,5038.0,5037.25,2.51,force_close_session,16,orb30_short
orb_30,2024-04-22T14:00:00+00:00,2024-04-22T14:14:00+00:00,buy,5033.0,5026.0,-72.48,stop,14,orb30_long
orb_30,2024-04-23T14:20:00+00:00,2024-04-23T14:30:00+00:00,buy,5090.75,5095.25,21.26,force_close_session,10,orb30_long
orb_30,2024-04-25T14:00:00+00:00,2024-04-25T14:10:00+00:00,sell,5024.5,5033.5,-92.48,stop,10,orb30_short
orb_30,2024-04-26T14:02:00+00:00,2024-04-26T14:30:00+00:00,buy,5133.75,5128.75,-26.24,force_close_session,28,orb30_long
orb_30,2024-05-02T14:02:00+00:00,2024-05-02T14:30:00+00:00,sell,5054.5,5061.25,-34.99,force_close_session,28,orb30_short
orb_30,2024-05-03T14:12:00+00:00,2024-05-03T14:30:00+00:00,sell,5136.5,5138.0,-8.74,force_close_session,18,orb30_short
orb_30,2024-05-06T14:08:00+00:00,2024-05-06T14:30:00+00:00,buy,5186.25,5184.25,-22.48,force_close_session,22,orb30_long
orb_30,2024-05-07T14:00:00+00:00,2024-05-07T14:12:00+00:00,sell,5211.5,5216.5,-78.72,stop,12,orb30_short
