strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes,reason
orb_pullback,2024-04-01T15:14:00+00:00,2024-04-01T15:20:00+00:00,sell,5290.0,5286.0,37.52,target,6,orb_pullback_short
orb_pullback,2024-04-02T15:22:00+00:00,2024-04-02T15:38:00+00:00,buy,5247.25,5245.25,-22.48,stop,16,orb_pullback_long
orb_pullback,2024-04-03T15:20:00+00:00,2024-04-03T15:34:00+00:00,buy,5280.25,5278.25,-22.48,stop,14,orb_pullback_long
orb_pullback,2024-04-03T16:04:00+00:00,2024-04-03T16:10:00+00:00,sell,5270.5,5272.5,-22.48,stop,6,orb_pullback_short
orb_pullback,2024-04-04T15:16:00+00:00,2024-04-04T15:24:00+00:00,sell,5294.0,5296.0,-22.48,stop,8,orb_pullback_short
orb_pullback,2024-04-04T15:44:00+00:00,2024-04-04T16:04:00+00:00,buy,5299.75,5303.75,37.52,target,20,orb_pullback_long
orb_pullback,2024-04-05T15:42:00+00:00,2024-04-05T15:54:00+00:00,buy,5257.0,5261.0,37.52,target,12,orb_pullback_long
orb_pullback,2024-04-08T15:30:00+00:00,2024-04-08T15:36:00+00:00,sell,5260.75,5256.75,37.52,target,6,orb_pullback_short
orb_pullback,2024-04-09T16:38:00+00:00,2024-04-09T16:40:00+00:00,buy,5243.0,5241.0,-22.48,stop,2,orb_pullback_long
orb_pullback,2024-04-10T15:16:00+00:00,2024-04-10T15:18:00+00:00,sell,5199.0,5201.0,-22.48,stop,2,orb_pullback_short
orb_pullback,2024-04-11T15:20:00+00:00,2024-04-11T15:24:00+00:00,buy,5201.75,5199.75,-22.48,stop,4,orb_pullback_long
orb_pullback,2024-04-12T16:28:00+00:00,2024-04-12T16:30:00+00:00,sell,5178.0,5180.0,-22.48,stop,2,orb_pullback_short
orb_pullback,2024-04-15T15:14:00+00:00,2024-04-15T15:16:00+00:00,sell,5169.75,5171.75,-22.48,stop,2,orb_pullback_short
orb_pullback,2024-04-16T15:22:00+00:00,2024-04-16T15:30:00+00:00,buy,5098.5,5096.5,-22.48,stop,8,orb_pullback_long
orb_pullback,2024-04-17T15:32:00+00:00,2024-04-17T15:34:00+00:00,sell,5068.5,5070.5,-22.48,stop,2,orb_pullback_short
orb_pullback,2024-04-18T15:20:00+00:00,2024-04-18T15:24:00+00:00,buy,5093.75,5091.75,-22.48,stop,4,orb_pullback_long
orb_pullback,2024-04-18T16:42:00+00:00,2024-04-18T16:46:00+00:00,sell,5072.75,5068.75,37.52,target,4,orb_pullback_short
orb_pullback,2024-04-19T15:58:00+00:00,2024-04-19T16:00:00+00:00,sell,5023.5,5025.5,-22.48,stop,2,orb_pullback_short
orb_pullback,2024-04-22T15:10:00+00:00,2024-04-22T15:12:00+00:00,sell,5008.75,5010.75,-22.48,stop,2,orb_pullback_short
