strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes
regime,2024-04-03T23:40:00+00:00,2024-04-04T03:58:00+00:00,sell,5277.25,5280.25,-16.24,stop,258
regime,2024-04-04T04:00:00+00:00,2024-04-04T04:02:00+00:00,sell,5279.75,5280.5,-19.96,stop,2
regime,2024-04-04T04:08:00+00:00,2024-04-04T04:12:00+00:00,buy,5281.0,5280.25,-19.96,stop,4
regime,2024-04-04T04:22:00+00:00,2024-04-04T04:24:00+00:00,buy,5280.75,5280.25,-22.439999999999998,stop,2
regime,2024-04-04T04:26:00+00:00,2024-04-04T04:28:00+00:00,sell,5280.75,5281.25,-22.439999999999998,stop,2
regime,2024-04-04T04:10:00+00:00,2024-04-04T04:32:00+00:00,sell,5280.5,5281.5,-24.96,stop,22
regime,2024-04-04T04:20:00+00:00,2024-04-04T04:32:00+00:00,sell,5280.75,5281.5,-19.96,stop,12
regime,2024-04-04T04:24:00+00:00,2024-04-04T04:32:00+00:00,buy,5280.5,5281.5,18.8,target,8
regime,2024-04-04T04:12:00+00:00,2024-04-04T04:34:00+00:00,buy,5280.25,5281.75,25.04,target,22
regime,2024-04-04T04:14:00+00:00,2024-04-04T04:34:00+00:00,buy,5280.5,5281.75,20.04,target,20
regime,2024-04-04T04:16:00+00:00,2024-04-04T04:34:00+00:00,sell,5281.0,5281.75,-19.96,stop,18
regime,2024-04-04T04:14:00+00:00,2024-04-04T04:34:00+00:00,buy,5280.5,5281.75,20.04,target,20
regime,2024-04-04T04:28:00+00:00,2024-04-04T04:34:00+00:00,sell,5281.0,5281.75,-24.95,stop,6
regime,2024-04-04T04:02:00+00:00,2024-04-04T04:36:00+00:00,sell,5281.0,5282.0,-18.72,stop,34
regime,2024-04-04T04:02:00+00:00,2024-04-04T04:36:00+00:00,sell,5281.0,5282.0,-18.72,stop,34
regime,2024-04-04T04:32:00+00:00,2024-04-04T04:36:00+00:00,sell,5281.25,5282.0,-24.95,stop,4
regime,2024-04-04T04:30:00+00:00,2024-04-04T04:40:00+00:00,buy,5281.0,5282.25,25.05,target,10
regime,2024-04-04T04:04:00+00:00,2024-04-04T04:42:00+00:00,buy,5280.75,5282.5,22.53,target,38
regime,2024-04-04T04:38:00+00:00,2024-04-04T04:42:00+00:00,sell,5281.75,5282.5,-24.95,stop,4
regime,2024-04-04T04:40:00+00:00,2024-04-04T04:44:00+00:00,buy,5282.25,5281.5,-24.95,stop,4
regime,2024-04-04T04:46:00+00:00,2024-04-04T04:48:00+00:00,sell,5281.5,5282.25,-19.96,stop,2
regime,2024-04-04T04:42:00+00:00,2024-04-04T04:50:00+00:00,sell,5282.25,5281.0,20.04,target,8
regime,2024-04-04T04:44:00+00:00,2024-04-04T04:50:00+00:00,buy,5281.75,5281.0,-19.96,stop,6
regime,2024-04-04T04:34:00+00:00,2024-04-04T04:52:00+00:00,buy,5281.5,5280.75,-24.95,stop,18
