strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes
session,2024-04-02T04:48:00+00:00,2024-04-02T04:54:00+00:00,buy,5289.25,5288.75,-26.18,stop,6
session,2024-04-02T04:54:00+00:00,2024-04-02T05:00:00+00:00,buy,5289.0,5288.5,-26.18,stop,6
session,2024-04-02T05:00:00+00:00,2024-04-02T05:02:00+00:00,buy,5288.75,5288.5,-19.92,stop,2
session,2024-04-02T06:18:00+00:00,2024-04-02T06:46:00+00:00,buy,5289.0,5291.0,26.28,target,28
session,2024-04-02T06:46:00+00:00,2024-04-02T06:52:00+00:00,buy,5291.25,5290.25,-24.96,stop,6
session,2024-04-02T06:52:00+00:00,2024-04-02T06:58:00+00:00,buy,5289.75,5288.5,-22.47,stop,6
session,2024-04-02T07:02:00+00:00,2024-04-02T07:18:00+00:00,buy,5291.0,5289.5,-17.48,stop,16
session,2024-04-02T08:16:00+00:00,2024-04-02T08:40:00+00:00,buy,5294.0,5292.25,-19.98,stop,24
session,2024-04-03T02:24:00+00:00,2024-04-03T02:28:00+00:00,buy,5253.5,5252.75,-24.95,stop,4
session,2024-04-03T02:30:00+00:00,2024-04-03T02:52:00+00:00,buy,5252.75,5252.0,-24.95,stop,22
session,2024-04-03T03:00:00+00:00,2024-04-03T03:42:00+00:00,buy,5253.5,5254.75,25.05,target,42
session,2024-04-03T03:42:00+00:00,2024-04-03T04:12:00+00:00,buy,5254.75,5254.0,-24.95,stop,30
session,2024-04-03T04:44:00+00:00,2024-04-03T04:50:00+00:00,buy,5253.75,5253.0,-24.95,stop,6
session,2024-04-03T04:50:00+00:00,2024-04-03T05:06:00+00:00,buy,5253.25,5252.75,-18.7,stop,16
session,2024-04-03T06:16:00+00:00,2024-04-03T06:44:00+00:00,buy,5250.25,5252.25,26.28,target,28
session,2024-04-03T06:44:00+00:00,2024-04-03T06:58:00+00:00,buy,5252.25,5251.25,-18.72,stop,14
session,2024-04-03T06:58:00+00:00,2024-04-03T07:00:00+00:00,buy,5251.25,5253.0,30.04,target,2
session,2024-04-03T07:00:00+00:00,2024-04-03T07:04:00+00:00,buy,5254.25,5252.25,-22.48,stop,4
session,2024-04-03T07:04:00+00:00,2024-04-03T07:54:00+00:00,buy,5250.25,5247.5,-14.99,stop,50
session,2024-04-03T12:02:00+00:00,2024-04-03T12:16:00+00:00,buy,5258.25,5256.25,-22.48,stop,14
session,2024-04-03T12:16:00+00:00,2024-04-03T12:20:00+00:00,buy,5257.0,5254.5,-13.74,stop,4
session,2024-04-03T13:38:00+00:00,2024-04-03T14:00:00+00:00,buy,5255.25,5259.75,21.26,target,22
session,2024-04-03T14:06:00+00:00,2024-04-03T14:08:00+00:00,buy,5272.0,5268.0,-21.24,stop,2
session,2024-04-03T14:12:00+00:00,2024-04-03T14:52:00+00:00,buy,5270.5,5277.75,35.01,target,40
session,2024-04-03T14:52:00+00:00,2024-04-03T14:56:00+00:00,buy,5278.5,5276.75,-19.98,stop,4
session,2024-04-03T14:56:00+00:00,2024-04-03T15:10:00+00:00,buy,5276.5,5279.75,30.02,target,14
session,2024-04-03T15:10:00+00:00,2024-04-03T15:16:00+00:00,buy,5280.25,5278.75,-26.22,stop,6
session,2024-04-03T15:16:00+00:00,2024-04-03T15:20:00+00:00,buy,5277.5,5280.25,25.02,target,4
session,2024-04-03T15:20:00+00:00,2024-04-03T15:38:00+00:00,buy,5280.25,5278.5,-19.98,stop,18
session,2024-04-03T15:42:00+00:00,2024-04-03T15:44:00+00:00,buy,5279.75,5278.5,-22.47,stop,2
session,2024-04-03T15:46:00+00:00,2024-04-03T15:50:00+00:00,buy,5277.5,5275.75,-19.98,stop,4
session,2024-04-03T16:20:00+00:00,2024-04-03T16:32:00+00:00,buy,5274.5,5278.25,17.51,target,12
session,2024-04-03T16:32:00+00:00,2024-04-03T16:36:00+00:00,buy,5278.5,5276.75,-19.98,stop,4
session,2024-04-03T16:36:00+00:00,2024-04-03T16:38:00+00:00,buy,5272.25,5268.75,-18.74,stop,2
session,2024-04-03T16:44:00+00:00,2024-04-03T18:52:00+00:00,buy,5274.75,5270.25,-23.74,stop,128
session,2024-04-03T19:42:00+00:00,2024-04-03T19:54:00+00:00,buy,5265.5,5263.0,-13.74,stop,12
session,2024-04-03T19:54:00+00:00,2024-04-03T20:00:00+00:00,buy,5262.25,5269.25,33.76,target,6
session,2024-04-03T20:00:00+00:00,2024-04-03T23:30:00+00:00,buy,5269.75,5276.75,33.76,target,210
session,2024-04-03T23:30:00+00:00,2024-04-03T23:34:00+00:00,buy,5281.5,5277.75,-19.99,stop,4
session,2024-04-03T23:34:00+00:00,2024-04-04T01:08:00+00:00,buy,5277.75,5274.5,-17.49,stop,94
session,2024-04-04T01:14:00+00:00,2024-04-04T01:22:00+00:00,buy,5275.5,5276.5,18.8,target,8
session,2024-04-04T01:22:00+00:00,2024-04-04T01:26:00+00:00,buy,5276.5,5275.75,-24.95,stop,4
session,2024-04-04T01:26:00+00:00,2024-04-04T01:44:00+00:00,buy,5275.75,5275.0,-24.95,stop,18
session,2024-04-04T01:44:00+00:00,2024-04-04T01:46:00+00:00,buy,5275.5,5276.5,18.8,target,2
session,2024-04-04T01:46:00+00:00,2024-04-04T01:48:00+00:00,buy,5276.75,5275.75,-24.96,stop,2
