strategy_id,dow_idx,dow_name,n_trades,net_pnl,win_rate
v3-armor,0,Mon,15,-54.250000000000014,0.2
v3-armor,1,Tue,8,-11.850000000000001,0.25
v3-armor,2,Wed,56,43.15000000000006,0.25
v3-armor,3,Thu,68,-371.35,0.20588235294117646
v3-canon,0,Mon,125,-62.50000000000007,0.328
v3-canon,1,Tue,102,3.599999999999998,0.3627450980392157
v3-canon,2,Wed,90,109.35,0.28888888888888886
v3-canon,3,Thu,135,-323.2499999999999,0.28888888888888886
v3-canon,4,Fri,142,-20.650000000000027,0.4084507042253521
v3-canon,6,Sun,33,56.89999999999999,0.3939393939393939
v3-min2bar,0,Mon,96,-54.699999999999974,0.3854166666666667
v3-min2bar,1,Tue,8,-11.850000000000001,0.25
v3-min2bar,2,Wed,75,171.10000000000005,0.3466666666666667
v3-min2bar,3,Thu,109,-293.8,0.4036697247706422
v3-min2bar,4,Fri,119,16.69999999999997,0.5210084033613446
v3-min2bar,6,Sun,27,83.59999999999998,0.48148148148148145
v3-pctile,0,Mon,108,-140.6,0.2962962962962963
v3-pctile,1,Tue,7,-9.9,0.2857142857142857
v3-pctile,2,Wed,78,86.49999999999994,0.2692307692307692
v3-pctile,3,Thu,133,-303.0999999999999,0.2932330827067669
v3-pctile,4,Fri,119,52.949999999999974,0.4117647058823529
v3-pctile,6,Sun,33,56.89999999999999,0.3939393939393939
v3-trail,0,Mon,121,-88.45000000000003,0.33884297520661155
v3-trail,1,Tue,8,-11.850000000000001,0.25
v3-trail,2,Wed,92,19.200000000000003,0.30434782608695654
v3-trail,3,Thu,141,-389.94999999999993,0.3049645390070922
v3-trail,4,Fri,148,-78.6,0.4391891891891892
v3-trail,6,Sun,34,64.95,0.4117647058823529
v3.1-armor,0,Mon,13,-57.85000000000001,0.15384615384615385
v3.1-armor,3,Thu,7,-4.899999999999999,0.2857142857142857
v3.1-canon,0,Mon,64,-179.8,0.21875
v3.1-canon,3,Thu,17,34.35,0.4117647058823529
v3.1-canon,4,Fri,71,-25.95,0.43661971830985913
v3.1-canon,6,Sun,29,32.19999999999999,0.3793103448275862
v3.1-min2bar,0,Mon,57,-163.64999999999998,0.2631578947368421
v3.1-min2bar,3,Thu,15,53.25,0.6
v3.1-min2bar,4,Fri,67,-8.150000000000002,0.47761194029850745
v3.1-min2bar,6,Sun,24,53.2,0.5
v3.1-pctile,0,Mon,62,-172.14999999999992,0.22580645161290322
v3.1-pctile,3,Thu,17,28.1,0.4117647058823529
v3.1-pctile,4,Fri,65,-7.999999999999978,0.4307692307692308
v3.1-pctile,6,Sun,29,32.19999999999999,0.3793103448275862
v3.1-trail,0,Mon,64,-144.79999999999998,0.265625
v3.1-trail,3,Thu,17,13.100000000000001,0.4117647058823529
v3.1-trail,4,Fri,72,2.099999999999996,0.5138888888888888
v3.1-trail,6,Sun,30,40.249999999999986,0.4
v4-loose-shorts,0,Mon,108,-140.6,0.2962962962962963
v4-loose-shorts,3,Thu,19,15.450000000000006,0.3684210526315789
v4-loose-shorts,4,Fri,117,5.599999999999994,0.41025641025641024
v4-loose-shorts,6,Sun,32,3.8500000000000085,0.375
v4-overnight-bias,0,Mon,112,-12.15000000000002,0.32142857142857145
v4-overnight-bias,3,Thu,18,18.650000000000006,0.3333333333333333
v4-overnight-bias,4,Fri,138,69.64999999999999,0.43478260869565216
v4-overnight-bias,6,Sun,33,56.89999999999999,0.3939393939393939
v4-trend-flip,0,Mon,103,36.649999999999984,0.3106796116504854
v4-trend-flip,3,Thu,19,21.700000000000006,0.3684210526315789
v4-trend-flip,4,Fri,137,-314.65000000000003,0.35766423357664234
v4-trend-flip,6,Sun,30,-2.2500000000000053,0.3333333333333333
v4-trend-gate,0,Mon,82,18.849999999999987,0.3048780487804878
v4-trend-gate,3,Thu,19,21.700000000000006,0.3684210526315789
v4-trend-gate,4,Fri,123,-36.099999999999994,0.4065040650406504
v4-trend-gate,6,Sun,26,29.299999999999997,0.3076923076923077
v4-vol-regime,0,Mon,118,-38.850000000000016,0.3135593220338983
v4-vol-regime,3,Thu,19,21.700000000000006,0.3684210526315789
v4-vol-regime,4,Fri,139,-17.300000000000004,0.4172661870503597
v4-vol-regime,6,Sun,33,56.89999999999999,0.3939393939393939
v5-mtf-anchor,0,Mon,120,-26.50000000000003,0.31666666666666665
v5-mtf-anchor,3,Thu,18,18.650000000000006,0.3333333333333333
v5-mtf-anchor,4,Fri,141,-46.20000000000001,0.40425531914893614
v5-mtf-anchor,6,Sun,33,56.89999999999999,0.3939393939393939
