anchor_ts_ct,direction,n_variants,variant_list,min_entry_ts_ct,max_entry_ts_ct
2026-05-05 23:04:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",23:04:01,23:04:02
2026-05-05 23:08:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",23:08:00,23:08:02
2026-05-05 23:14:02 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",23:14:02,23:14:03
2026-05-05 23:28:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",23:28:00,23:28:02
2026-05-05 23:32:05 CT,long,4,"v3-armor,v3-canon,v3-min2bar,v3-trail",23:32:05,23:32:06
2026-05-05 23:38:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",23:38:01,23:38:02
2026-05-05 23:44:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",23:44:01,23:44:02
2026-05-05 23:54:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",23:54:00,23:54:02
2026-05-06 00:04:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",00:04:00,00:04:02
2026-05-06 00:20:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",00:20:00,00:20:02
2026-05-06 00:26:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",00:26:01,00:26:03
2026-05-06 00:34:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",00:34:01,00:34:02
2026-05-06 00:44:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",00:44:01,00:44:03
2026-05-06 01:02:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",01:02:00,01:02:01
2026-05-06 01:14:01 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",01:14:01,01:14:02
2026-05-06 01:24:01 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",01:24:01,01:24:02
2026-05-06 01:36:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",01:36:00,01:36:01
2026-05-06 01:58:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",01:58:01,01:58:02
2026-05-06 02:06:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",02:06:00,02:06:02
2026-05-06 02:18:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",02:18:01,02:18:02
2026-05-06 02:24:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",02:24:00,02:24:02
2026-05-06 02:46:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",02:46:00,02:46:02
2026-05-06 02:58:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",02:58:00,02:58:02
2026-05-06 03:06:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",03:06:01,03:06:02
2026-05-06 03:18:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",03:18:01,03:18:02
2026-05-06 03:24:01 CT,long,4,"v3-armor,v3-canon,v3-pctile,v3-trail",03:24:01,03:24:02
2026-05-06 03:32:01 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",03:32:01,03:32:02
2026-05-06 03:42:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",03:42:00,03:42:02
2026-05-06 04:08:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",04:08:00,04:08:01
2026-05-06 04:12:00 CT,long,3,"v3-canon,v3-pctile,v3-trail",04:12:00,04:12:01
2026-05-06 04:28:01 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",04:28:01,04:28:01
2026-05-06 04:34:01 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",04:34:01,04:34:02
2026-05-06 04:40:00 CT,long,3,"v3-canon,v3-pctile,v3-trail",04:40:00,04:40:01
2026-05-06 04:50:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",04:50:00,04:50:01
2026-05-06 04:54:00 CT,long,3,"v3-canon,v3-pctile,v3-trail",04:54:00,04:54:01
2026-05-06 05:02:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",05:02:00,05:02:01
2026-05-06 05:07:58 CT,long,3,"v3-canon,v3-pctile,v3-trail",05:07:58,05:07:59
2026-05-06 05:16:01 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",05:16:01,05:16:02
2026-05-06 05:24:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",05:24:00,05:24:02
2026-05-06 05:40:00 CT,long,5,"v3-armor,v3-canon,v3-min2bar,v3-pctile,v3-trail",05:40:00,05:40:02
2026-05-06 05:52:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",05:52:00,05:52:01
2026-05-06 06:02:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",06:02:00,06:02:01
2026-05-06 06:06:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",06:06:00,06:10:01
2026-05-06 06:16:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",06:16:00,06:16:01
2026-05-06 06:20:00 CT,long,4,"v3-canon,v3-min2bar,v3-pctile,v3-trail",06:20:00,06:20:01
