anchor_ts_ct,direction,n_variants_declared,n_settled_matched,cluster_net_pnl,win_rate
2026-05-05 23:04:01 CT,long,5,10,-25.75,0.0
2026-05-05 23:08:00 CT,long,5,5,-9.75,0.0
2026-05-05 23:14:02 CT,long,5,5,9.0,1.0
2026-05-05 23:28:00 CT,long,5,9,-23.8,0.0
2026-05-05 23:32:05 CT,long,4,4,-7.8,0.0
2026-05-05 23:38:01 CT,long,5,5,-16.0,0.0
2026-05-05 23:44:01 CT,long,5,5,15.25,1.0
2026-05-05 23:54:00 CT,long,5,5,-16.0,0.0
2026-05-06 00:04:00 CT,long,5,5,-8.500000000000002,0.2
2026-05-06 00:20:00 CT,long,5,5,-22.25,0.0
2026-05-06 00:26:01 CT,long,5,5,-3.5,0.0
2026-05-06 00:34:01 CT,long,5,5,-22.25,0.0
2026-05-06 00:44:01 CT,long,5,5,64.0,1.0
2026-05-06 01:02:00 CT,long,4,4,-21.549999999999997,0.0
2026-05-06 01:14:01 CT,long,4,4,-17.8,0.0
2026-05-06 01:24:01 CT,long,4,4,-5.3,0.25
2026-05-06 01:36:00 CT,long,4,4,17.2,1.0
2026-05-06 01:58:01 CT,long,5,5,22.75,1.0
2026-05-06 02:06:00 CT,long,5,5,-28.5,0.0
2026-05-06 02:18:01 CT,long,5,5,-3.5,0.0
2026-05-06 02:24:00 CT,long,5,5,-34.75,0.0
2026-05-06 02:46:00 CT,long,5,5,27.75,1.0
2026-05-06 02:58:00 CT,long,5,5,-9.75,0.0
2026-05-06 03:06:01 CT,long,5,5,9.0,1.0
2026-05-06 03:18:01 CT,long,5,5,-53.5,0.0
2026-05-06 03:24:01 CT,long,4,4,2.2,1.0
2026-05-06 03:32:01 CT,long,5,5,29.0,1.0
2026-05-06 03:42:00 CT,long,5,5,646.5,1.0
2026-05-06 04:08:00 CT,long,4,7,128.84999999999997,0.5714285714285714
2026-05-06 04:12:00 CT,long,3,3,110.39999999999999,1.0
2026-05-06 04:28:01 CT,long,4,4,-2.8,0.0
2026-05-06 04:34:01 CT,long,4,4,-10.299999999999999,0.0
2026-05-06 04:40:00 CT,long,3,3,-32.099999999999994,0.0
2026-05-06 04:50:00 CT,long,4,7,2.600000000000003,0.5714285714285714
2026-05-06 04:54:00 CT,long,3,3,16.65,1.0
2026-05-06 05:02:00 CT,long,4,4,-44.05,0.0
2026-05-06 05:07:58 CT,long,3,3,-5.85,0.0
2026-05-06 05:16:01 CT,long,4,4,67.2,1.0
2026-05-06 05:24:00 CT,long,4,4,80.95,1.0
2026-05-06 05:40:00 CT,long,5,5,80.25,0.8
2026-05-06 05:52:00 CT,long,4,4,93.45,1.0
2026-05-06 06:02:00 CT,long,4,7,-61.150000000000006,0.0
2026-05-06 06:06:00 CT,long,4,7,-53.650000000000006,0.0
2026-05-06 06:16:00 CT,long,4,8,-50.599999999999994,0.0
2026-05-06 06:20:00 CT,long,4,4,-22.799999999999997,0.0
2026-05-06 06:36:01 CT,long,4,4,-2.8,0.0
2026-05-06 06:52:00 CT,long,5,5,-28.5,0.0
2026-05-06 07:06:00 CT,long,5,5,-24.75,0.0
2026-05-06 07:12:00 CT,long,4,4,-87.8,0.0
2026-05-06 07:20:00 CT,long,5,5,121.5,1.0
2026-05-06 07:36:01 CT,long,5,9,-92.55,0.0
2026-05-06 07:40:00 CT,long,5,9,-107.55,0.0
2026-05-06 07:52:01 CT,long,5,5,-41.00000000000001,0.0
2026-05-06 07:58:00 CT,long,4,4,-2.8,0.0
2026-05-06 08:04:00 CT,long,5,5,-84.75,0.0
2026-05-06 08:12:01 CT,long,5,9,-40.050000000000004,0.1111111111111111
2026-05-06 08:16:01 CT,long,4,4,-22.8,0.0
2026-05-06 08:22:00 CT,long,5,5,-22.25,0.0
2026-05-06 08:30:00 CT,long,5,5,-3.5,0.0
2026-05-06 08:44:00 CT,long,4,7,-84.9,0.0
2026-05-06 08:48:01 CT,long,3,3,-50.849999999999994,0.0
2026-05-06 08:53:22 CT,long,4,4,87.2,1.0
2026-05-06 09:06:00 CT,long,4,8,-20.599999999999998,0.5
2026-05-06 09:10:00 CT,long,4,4,22.2,1.0
2026-05-06 09:22:00 CT,long,4,4,-12.8,0.0
2026-05-06 09:32:00 CT,long,4,4,165.25,0.75
2026-05-06 09:50:00 CT,long,3,3,39.150000000000006,1.0
2026-05-06 10:00:01 CT,long,3,3,14.15,1.0
2026-05-06 10:06:01 CT,long,3,3,-42.1,0.0
2026-05-06 10:12:01 CT,long,4,7,17.6,0.5714285714285714
2026-05-06 10:26:00 CT,long,4,4,-35.3,0.0
2026-05-06 10:46:01 CT,long,4,4,-5.6,0.0
2026-05-06 17:28:01 CT,long,5,9,-30.05,0.0
2026-05-06 17:32:01 CT,long,4,4,-2.8,0.0
2026-05-06 17:42:01 CT,long,5,5,-3.5,0.0
2026-05-06 17:50:01 CT,long,5,5,-9.2,0.0
2026-05-06 17:55:56 CT,long,4,4,-5.6,0.0
2026-05-06 21:16:00 CT,long,5,5,2.75,1.0
2026-05-06 21:26:01 CT,long,5,5,-3.5,0.0
2026-05-06 21:34:00 CT,long,5,5,-47.25,0.0
2026-05-06 21:54:00 CT,long,5,5,9.0,1.0
2026-05-06 22:06:00 CT,long,5,5,-16.0,0.0
2026-05-06 22:16:01 CT,long,5,5,2.75,1.0
2026-05-06 22:26:00 CT,long,5,5,25.25,1.0
2026-05-06 22:32:00 CT,long,5,5,-3.5,0.0
2026-05-06 22:38:00 CT,long,5,5,-3.5,0.0
2026-05-06 22:48:00 CT,long,5,5,-8.5,0.0
2026-05-06 22:54:00 CT,long,4,4,-12.8,0.0
2026-05-06 23:02:01 CT,long,5,5,-16.0,0.0
2026-05-06 23:10:03 CT,long,5,5,22.750000000000004,0.8
2026-05-06 23:26:00 CT,long,4,4,-19.05,0.0
2026-05-06 23:32:02 CT,long,3,3,-9.600000000000001,0.0
2026-05-06 23:40:01 CT,long,3,3,-5.85,0.0
2026-05-06 23:48:01 CT,long,4,4,-2.8,0.0
2026-05-06 23:54:23 CT,long,4,4,-2.8,0.0
2026-05-07 00:02:01 CT,long,4,4,-10.3,0.25
2026-05-07 00:08:00 CT,long,4,7,-22.4,0.0
2026-05-07 00:12:01 CT,long,3,3,-2.0999999999999996,0.0
2026-05-07 00:26:00 CT,long,4,4,44.7,1.0
2026-05-07 00:52:00 CT,long,4,4,-12.8,0.0
2026-05-07 00:58:00 CT,long,4,7,-36.15,0.0
2026-05-07 01:14:00 CT,long,4,7,11.349999999999998,0.5714285714285714
2026-05-07 01:18:00 CT,long,3,3,20.4,1.0
2026-05-07 01:26:01 CT,long,4,4,-27.8,0.0
2026-05-07 01:34:00 CT,long,4,4,30.950000000000003,1.0
2026-05-07 01:42:01 CT,long,4,4,33.45,1.0
2026-05-07 01:52:00 CT,long,4,4,12.2,1.0
2026-05-07 01:58:00 CT,long,4,4,-29.05,0.0
2026-05-07 02:06:00 CT,long,4,4,152.2,1.0
2026-05-07 02:22:01 CT,long,4,4,-17.8,0.0
2026-05-07 02:30:00 CT,long,4,4,52.2,1.0
2026-05-07 02:50:00 CT,long,4,4,-7.8,0.0
2026-05-07 02:58:00 CT,long,4,4,104.7,1.0
2026-05-07 03:14:00 CT,long,4,4,-47.8,0.0
2026-05-07 03:22:00 CT,long,4,4,-57.8,0.0
2026-05-07 03:28:00 CT,long,4,4,-7.8,0.0
2026-05-07 03:36:00 CT,long,4,4,-7.8,0.0
2026-05-07 03:50:01 CT,long,4,4,27.2,1.0
2026-05-07 04:02:00 CT,long,4,4,-41.55,0.0
2026-05-07 04:08:00 CT,long,4,7,-8.65,0.14285714285714285
2026-05-07 04:12:02 CT,long,3,4,13.45,0.75
2026-05-07 04:36:00 CT,long,4,4,-32.8,0.0
2026-05-07 04:42:01 CT,long,4,4,-7.8,0.0
2026-05-07 04:48:01 CT,long,4,4,-52.8,0.0
2026-05-07 04:58:01 CT,long,4,4,7.2,1.0
2026-05-07 05:10:00 CT,long,4,4,7.2,1.0
2026-05-07 05:22:01 CT,long,4,4,14.7,1.0
2026-05-07 05:32:00 CT,long,4,4,-17.8,0.0
2026-05-07 05:38:01 CT,long,4,4,42.2,1.0
2026-05-07 06:04:00 CT,long,4,4,-32.8,0.0
2026-05-07 06:10:00 CT,long,4,4,-27.8,0.0
2026-05-07 06:24:01 CT,long,4,7,-27.4,0.0
2026-05-07 06:28:00 CT,long,4,7,-12.399999999999999,0.14285714285714285
2026-05-07 06:32:02 CT,long,3,4,-7.8,0.0
2026-05-07 06:52:00 CT,long,4,4,27.2,1.0
2026-05-07 07:04:01 CT,long,4,4,68.45,1.0
2026-05-07 07:16:01 CT,long,4,4,-35.300000000000004,0.0
2026-05-07 07:26:00 CT,long,4,4,64.7,1.0
2026-05-07 07:44:01 CT,long,4,4,-16.55,0.0
2026-05-07 07:50:00 CT,long,4,7,-62.400000000000006,0.0
2026-05-07 07:54:01 CT,long,3,5,-39.75,0.0
2026-05-07 08:10:01 CT,long,4,4,-7.8,0.0
2026-05-07 08:16:00 CT,long,4,4,37.2,1.0
2026-05-07 08:24:00 CT,long,4,4,-27.8,0.0
2026-05-07 08:40:01 CT,long,3,5,-93.5,0.0
2026-05-07 10:24:00 CT,long,5,5,-97.25,0.0
2026-05-07 10:30:00 CT,long,5,5,96.5,1.0
2026-05-07 10:38:00 CT,long,5,5,-62.25,0.0
2026-05-07 10:43:03 CT,long,5,9,-112.55,0.0
2026-05-07 11:04:00 CT,long,5,5,-138.5,0.0
2026-05-07 11:10:00 CT,long,5,5,-123.5,0.0
2026-05-07 11:18:01 CT,long,5,5,-91.0,0.2
