strategy_id,direction,n_trades,net_pnl,win_rate,profit_factor,avg_pnl
v3-armor,long,146,-388.5999999999999,0.22602739726027396,0.5285410979678496,-2.6616438356164376
v3-armor,short,0,0.0,0.0,0.0,0.0
v3-canon,long,626,-230.84999999999994,0.34185303514376997,0.9120085380495891,-0.3687699680511181
v3-canon,short,0,0.0,0.0,0.0,0.0
v3-min2bar,long,434,-88.94999999999999,0.423963133640553,0.9592234344916107,-0.20495391705069121
v3-min2bar,short,0,0.0,0.0,0.0,0.0
v3-pctile,long,476,-260.85000000000014,0.32563025210084034,0.8673261787294643,-0.5480042016806725
v3-pctile,short,1,9.3,1.0,inf,9.3
v3-trail,long,543,-479.0,0.35543278084714547,0.7917527117796666,-0.8821362799263351
v3-trail,short,0,0.0,0.0,0.0,0.0
v3.1-armor,long,20,-62.75,0.2,0.18979987088444158,-3.1375
v3.1-armor,short,0,0.0,0.0,0.0,0.0
v3.1-canon,long,181,-139.2,0.34806629834254144,0.736787368819136,-0.7690607734806629
v3.1-canon,short,0,0.0,0.0,0.0,0.0
v3.1-min2bar,long,163,-65.35,0.4171779141104294,0.865327150953117,-0.40092024539877297
v3.1-min2bar,short,0,0.0,0.0,0.0,0.0
v3.1-pctile,long,173,-119.85,0.3468208092485549,0.7634228187919464,-0.6927745664739884
v3.1-pctile,short,0,0.0,0.0,0.0,0.0
v3.1-trail,long,183,-89.35000000000004,0.3989071038251366,0.8169994879672302,-0.4882513661202188
v3.1-trail,short,0,0.0,0.0,0.0,0.0
v4-loose-shorts,long,275,-110.0,0.36,0.8844477125899469,-0.4
v4-loose-shorts,short,0,0.0,0.0,0.0,0.0
v4-overnight-bias,long,301,133.04999999999998,0.38205980066445183,1.1257918124231823,0.44202657807308965
v4-overnight-bias,short,0,0.0,0.0,0.0,0.0
v4-trend-flip,long,247,-0.4000000000000128,0.3481781376518219,0.9995474857175178,-0.0016194331983806186
v4-trend-flip,short,42,-258.15,0.2857142857142857,0.3738023044269254,-6.1464285714285705
v4-trend-gate,long,250,33.749999999999986,0.36,1.0383740761796476,0.13499999999999995
v4-trend-gate,short,0,0.0,0.0,0.0,0.0
v4-vol-regime,long,309,22.44999999999998,0.37216828478964403,1.0200080210329308,0.07265372168284784
v4-vol-regime,short,0,0.0,0.0,0.0,0.0
v5-mtf-anchor,long,311,8.549999999999976,0.3665594855305466,1.0075470032659546,0.02749196141479092
v5-mtf-anchor,short,0,0.0,0.0,0.0,0.0
