strategy_id,mdd_dollars,mdd_pct_of_peak,peak_ts_ct,trough_ts_ct,duration_days,trades_during_dd,wr_during_dd,lifetime_wr,regime_during_dd,ongoing
v3-trail,599.4499999999958,585.4003906249961,2026-05-06 05:52:01.502015-05:00,2026-05-11 20:32:05.544444-05:00,5.61,500,0.35,0.3547794117647059,vol-expansion-chop,False
v3-armor,578.5999999999992,331.6709658928055,2026-05-06 03:42:01.307479-05:00,2026-05-11 20:32:03.634068-05:00,5.7,122,0.19672131147540983,0.22448979591836735,vol-expansion-chop,False
v3-canon,497.199999999999,218.50142825752533,2026-05-06 05:52:00.804452-05:00,2026-05-07 18:34:01.641387-05:00,1.53,170,0.24705882352941178,0.3413078149920255,vol-expansion-chop,False
v4-trend-flip,495.79999999999865,465.75857209957627,2026-05-08 07:28:04.561327-05:00,2026-05-11 08:22:05.509567-05:00,3.04,145,0.2896551724137931,0.3391003460207612,chop,False
v3-pctile,474.89999999999986,236.5628891656288,2026-05-06 05:52:01.840448-05:00,2026-05-07 18:34:02.003698-05:00,1.53,156,0.24358974358974358,0.3263598326359833,vol-expansion-chop,False
v3-min2bar,430.04999999999916,189.0745218729385,2026-05-06 10:00:01.448791-05:00,2026-05-07 17:40:02.217481-05:00,1.32,108,0.3333333333333333,0.423963133640553,vol-expansion-trending-down,False
v4-loose-shorts,284.9000000000001,178.78882962033262,2026-05-08 10:46:05.383426-05:00,2026-05-11 20:32:05.922132-05:00,3.41,183,0.30601092896174864,0.358695652173913,chop,False
v3.1-canon,217.45000000000016,277.8913738019172,2026-05-08 04:18:02.694764-05:00,2026-05-11 20:32:06.721903-05:00 (ongoing),3.68,117,0.28205128205128205,0.34806629834254144,chop,True
v3.1-pctile,205.35000000000016,240.17543859649152,2026-05-10 19:30:06.054203-05:00,2026-05-11 20:32:07.101493-05:00 (ongoing),1.04,89,0.25842696629213485,0.3468208092485549,chop,True
v5-mtf-anchor,199.64999999999992,103.63353231248375,2026-05-11 12:42:04.389707-05:00,2026-05-11 20:32:06.340031-05:00,0.33,38,0.15789473684210525,0.36538461538461536,trending-down,False
v4-vol-regime,199.64999999999986,89.89194056731198,2026-05-11 12:42:05.187361-05:00,2026-05-11 20:32:07.482670-05:00 (ongoing),0.33,38,0.15789473684210525,0.37216828478964403,trending-down,True
v3.1-trail,181.20000000000022,197.2781709308659,2026-05-10 19:30:03.990507-05:00,2026-05-11 20:32:02.854076-05:00 (ongoing),1.04,92,0.29347826086956524,0.3989071038251366,chop,True
v3.1-min2bar,177.30000000000013,158.37427422956716,2026-05-10 22:40:01.947655-05:00,2026-05-11 20:32:04.785507-05:00 (ongoing),0.91,65,0.2923076923076923,0.4171779141104294,chop,True
v4-overnight-bias,175.44999999999965,56.87196110210658,2026-05-11 12:42:05.981725-05:00,2026-05-11 19:16:04.957973-05:00 (ongoing),0.27,32,0.15625,0.38205980066445183,trending-down,True
v4-trend-gate,165.4000000000001,106.88206785137334,2026-05-08 07:28:04.153911-05:00,2026-05-11 08:22:04.707298-05:00,3.04,123,0.3333333333333333,0.36,chop,False
v3.1-armor,73.85000000000002,665.3153153153155,2026-05-07 22:44:04.950916-05:00,2026-05-11 20:32:05.160693-05:00 (ongoing),3.91,19,0.15789473684210525,0.2,trending-down,True
