scope,bars_bucket,n_trades,net_pnl,win_rate,profit_factor,avg_pnl
FLEET,1,2941,-12458.700000000003,0.18089085345120706,0.19400551833893467,-4.236212172730364
FLEET,2,667,509.3500000000001,0.5397301349325337,1.3387423935091276,0.7636431784107948
FLEET,3,422,1959.5999999999992,0.5924170616113744,3.96168669236001,4.643601895734595
FLEET,4-6,415,4142.0,0.8337349397590361,13.02147728921782,9.980722891566264
FLEET,7-10,154,2538.4500000000007,0.9415584415584416,36.602384291725116,16.483441558441562
FLEET,11+,71,1237.7999999999997,0.647887323943662,4.3567457627118635,17.433802816901405
v3-armor,1,102,-675.1500000000003,0.10784313725490197,0.07348703170028816,-6.619117647058826
v3-armor,2,19,1.700000000000002,0.5263157894736842,1.0399529964747356,0.08947368421052641
v3-armor,3,10,59.25,0.5,7.970588235294118,5.925
v3-armor,4-6,5,40.25,0.6,7.289062499999999,8.05
v3-armor,7-10,3,11.650000000000002,0.6666666666666666,2.6762589928057556,3.883333333333334
v3-armor,11+,5,176.50000000000006,0.4,7.225749559082894,35.30000000000001
v3-canon,1,400,-2073.75,0.135,0.12303886328075443,-5.184375
v3-canon,2,88,217.14999999999998,0.6022727272727273,2.4647554806070824,2.467613636363636
v3-canon,3,61,359.8,0.6721311475409836,7.512217194570136,5.898360655737705
v3-canon,4-6,47,654.5999999999997,0.8936170212765957,32.17142857142856,13.927659574468079
v3-canon,7-10,20,476.0,0.95,69.48920863309353,23.8
v3-canon,11+,7,138.84999999999997,0.7142857142857143,6.809623430962343,19.835714285714282
v3-min2bar,1,163,-937.85,0.26380368098159507,0.20705981822024944,-5.7536809815950924
v3-min2bar,2,107,-288.65,0.40186915887850466,0.477367372804635,-2.697663551401869
v3-min2bar,3,60,41.749999999999986,0.43333333333333335,1.1477614581490003,0.6958333333333331
v3-min2bar,4-6,70,530.9999999999998,0.6285714285714286,4.986486486486486,7.585714285714283
