strategy_id,n_trades,net_pnl,net_pnl_minus_top5,net_pnl_minus_top10,net_pnl_minus_bottom5,top5_pnl_sum,pct_of_net_from_top5,max_day_pnl,max_day_date,min_day_pnl,min_day_date,consistency_cap_breach_day,tail_driven
v4-overnight-bias,301,133.0499999999995,-117.20000000000016,-296.2000000000003,252.79999999999973,250.25,188.0871852686967,69.65,2026-05-08,-12.149999999999991,2026-05-11,,yes
v4-trend-gate,250,33.74999999999977,-206.50000000000057,-351.75000000000034,153.49999999999955,240.25,711.8518518518566,29.299999999999997,2026-05-10,-36.099999999999994,2026-05-08,,yes
v4-vol-regime,309,22.44999999999959,-225.30000000000018,-391.8000000000003,144.69999999999982,247.75,1103.563474387548,56.9,2026-05-10,-38.849999999999994,2026-05-11,,yes
v5-mtf-anchor,312,2.849999999999909,-244.90000000000032,-411.40000000000043,125.09999999999968,247.75,8692.982456140628,56.9,2026-05-10,-46.19999999999999,2026-05-08,,yes
v3.1-armor,20,-62.75,-76.75,-67.0,-10.5,14.000000000000004,-22.31075697211156,-4.8999999999999995,2026-05-07,-57.849999999999994,2026-05-11,,no
v3.1-min2bar,163,-65.35000000000014,-208.09999999999997,-267.09999999999997,33.14999999999992,142.75,-218.43917368018316,53.25,2026-05-07,-163.64999999999998,2026-05-11,,ambiguous
v3-min2bar,434,-88.94999999999982,-437.9499999999998,-646.95,145.80000000000018,349.0,-392.35525576166464,171.1,2026-05-06,-293.8,2026-05-07,,ambiguous
v3.1-trail,183,-89.35000000000008,-199.60000000000008,-247.34999999999994,9.149999999999864,110.24999999999999,-123.39115836597637,40.25,2026-05-10,-144.79999999999998,2026-05-11,,ambiguous
v4-loose-shorts,276,-115.70000000000039,-315.9500000000006,-442.4500000000004,-2.2000000000007276,200.25,-173.0769230769225,15.450000000000003,2026-05-07,-140.6,2026-05-11,,no
v3.1-pctile,173,-119.85000000000008,-262.6,-321.5999999999999,-21.350000000000136,142.75,-119.10721735502703,32.2,2026-05-10,-172.14999999999998,2026-05-11,,no
v3.1-canon,181,-139.2000000000001,-281.95,-338.44999999999993,-40.70000000000016,142.75,-102.55028735632177,34.35,2026-05-07,-179.79999999999998,2026-05-11,,no
v3-canon,627,-236.55000000000018,-591.8,-810.8,-76.80000000000018,355.25,-150.17966603255115,109.35000000000001,2026-05-06,-323.25,2026-05-07,,no
v3-pctile,478,-257.24999999999955,-577.4999999999998,-775.2500000000002,-97.49999999999932,320.25,-124.48979591836758,86.5,2026-05-06,-303.09999999999997,2026-05-07,,no
v4-trend-flip,289,-258.54999999999995,-531.3000000000005,-696.5500000000004,-42.55000000000041,272.75,-105.49216785921487,36.650000000000006,2026-05-11,-314.65,2026-05-08,,no
v3-armor,147,-394.3000000000001,-698.3000000000003,-768.5500000000002,-255.8000000000003,304.00000000000006,-77.09865584580268,43.15000000000002,2026-05-06,-371.34999999999997,2026-05-07,,no
v3-trail,544,-484.7000000000003,-732.4499999999994,-892.7000000000003,-324.94999999999914,247.75,-51.11409119042703,64.95,2026-05-10,-389.95,2026-05-07,,no
