strategy_id,exit_reason,n,pct_of_trades
v3-armor,opposite_signal,124,0.8551724137931035
v3-armor,stop,10,0.06896551724137931
v3-armor,session_end,8,0.05517241379310345
v3-armor,manual_cleanup_2026_05_06,1,0.006896551724137931
v3-armor,manual_cleanup_2026_05_06_signalr_drop,1,0.006896551724137931
v3-armor,time_stop,1,0.006896551724137931
v3-canon,opposite_signal,575,0.92
v3-canon,stop,33,0.0528
v3-canon,session_end,14,0.0224
v3-canon,manual_cleanup_2026_05_05,1,0.0016
v3-canon,manual_cleanup_2026_05_06,1,0.0016
v3-canon,manual_cleanup_2026_05_06_signalr_drop,1,0.0016
v3-min2bar,opposite_signal,358,0.8267898383371824
v3-min2bar,stop,65,0.15011547344110854
v3-min2bar,session_end,8,0.018475750577367205
v3-min2bar,manual_cleanup_2026_05_06,1,0.0023094688221709007
v3-min2bar,manual_cleanup_2026_05_06_signalr_drop,1,0.0023094688221709007
v3-pctile,opposite_signal,443,0.930672268907563
v3-pctile,stop,24,0.05042016806722689
v3-pctile,session_end,7,0.014705882352941176
v3-pctile,manual_cleanup_2026_05_06,1,0.0021008403361344537
v3-pctile,manual_cleanup_2026_05_06_signalr_drop,1,0.0021008403361344537
v3-trail,opposite_signal,383,0.7053406998158379
v3-trail,stop,151,0.27808471454880296
v3-trail,session_end,7,0.01289134438305709
v3-trail,manual_cleanup_2026_05_06,1,0.001841620626151013
v3-trail,manual_cleanup_2026_05_06_signalr_drop,1,0.001841620626151013
v3.1-armor,opposite_signal,13,0.65
v3.1-armor,bar1_fast_fail,7,0.35
v3.1-canon,opposite_signal,131,0.7237569060773481
v3.1-canon,bar1_fast_fail,45,0.24861878453038674
v3.1-canon,stop,5,0.027624309392265192
v3.1-min2bar,opposite_signal,112,0.6871165644171779
v3.1-min2bar,bar1_fast_fail,42,0.25766871165644173
v3.1-min2bar,stop,9,0.05521472392638037
v3.1-pctile,opposite_signal,125,0.7225433526011561
v3.1-pctile,bar1_fast_fail,44,0.2543352601156069
v3.1-pctile,stop,4,0.023121387283236993
v3.1-trail,opposite_signal,84,0.45901639344262296
v3.1-trail,stop,54,0.29508196721311475
v3.1-trail,bar1_fast_fail,45,0.2459016393442623
v4-loose-shorts,opposite_signal,259,0.9452554744525548
v4-loose-shorts,stop,15,0.05474452554744526
v4-overnight-bias,opposite_signal,286,0.9501661129568106
v4-overnight-bias,stop,15,0.04983388704318937
v4-trend-flip,opposite_signal,263,0.9100346020761245
v4-trend-flip,stop,26,0.08996539792387544
v4-trend-gate,opposite_signal,236,0.944
v4-trend-gate,stop,14,0.056
v4-vol-regime,opposite_signal,292,0.9449838187702265
v4-vol-regime,stop,17,0.05501618122977346
v5-mtf-anchor,opposite_signal,293,0.9451612903225807
v5-mtf-anchor,stop,17,0.054838709677419356
