strategy_id,low_sample,n_trades,net_pnl,gross_win,gross_loss,profit_factor,win_rate,avg_win,avg_loss,win_loss_ratio,max_win,max_loss,max_drawdown_dollars,max_drawdown_pct_of_peak,sharpe_daily_annualized,avg_bars_held,mean_mfe_atr,mean_mae_atr
v4-overnight-bias,False,301,133.04999999999998,1190.75,1057.7,1.1257918124231823,0.38205980066445183,10.354347826086954,-5.686559139784948,1.820845887919233,61.8,-30.7,175.44999999999965,56.87196110210658,14.182151251827731,2.3754152823920265,1.0242524916943523,0.6477076411960133
v4-trend-gate,False,250,33.749999999999986,913.25,879.5,1.0383740761796476,0.36,10.14722222222222,-5.496875,1.8459983576527064,61.8,-30.7,165.4000000000001,106.88206785137334,4.462105781850176,2.34,0.99716,0.60472
v4-vol-regime,False,309,22.44999999999998,1144.5,1122.05,1.0200080210329308,0.37216828478964403,9.952173913043477,-5.783762886597939,1.7207091833077262,61.8,-30.7,199.64999999999986,89.89194056731198,2.101735595531121,2.2718446601941746,0.9867637540453075,0.6377346278317152
v5-mtf-anchor,False,310,-7.000000000000025,1125.9,1132.9,0.9938211669167623,0.36451612903225805,9.963716814159291,-5.750761421319798,1.7325908839168327,61.8,-30.7,199.64999999999992,103.63353231248375,-0.5739233230143251,2.232258064516129,0.9726774193548386,0.6272258064516129
v3.1-armor,True,20,-62.75,14.700000000000001,77.45,0.18979987088444158,0.2,3.6750000000000007,-4.840624999999999,0.7591994835377666,9.3,-19.45,73.85000000000002,665.3153153153155,-13.302492975641067,1.75,0.5405,0.703
v3.1-min2bar,False,163,-65.35,419.9,485.24999999999994,0.865327150953117,0.4171779141104294,6.175,-5.107894736842105,1.2089129314786193,53.05,-30.7,177.30000000000013,158.37427422956716,-2.5331711890286677,2.6809815950920246,1.0138036809815951,0.7106134969325153
v3.1-trail,False,183,-89.35000000000004,398.90000000000003,488.2499999999999,0.8169994879672302,0.3989071038251366,5.464383561643836,-4.4386363636363635,1.23109511885473,55.55,-30.7,181.20000000000022,197.2781709308659,-4.261924886364231,1.989071038251366,0.8435519125683061,0.6193989071038251
v3-min2bar,False,433,-104.49999999999999,2076.8999999999996,2181.4,0.9520949848721003,0.4226327944572748,11.34918032786885,-8.725600000000002,1.3006762088416668,126.8,-78.2,430.04999999999916,189.0745218729385,-1.7408589895324447,2.82830626450116,1.1054988399071926,0.7929002320185615
v3.1-pctile,False,173,-119.85,386.75,506.5999999999999,0.7634228187919464,0.3468208092485549,6.445833333333334,-4.483185840707965,1.4377796420581654,53.05,-30.7,205.35000000000016,240.17543859649152,-4.929059800009655,2.1734104046242773,0.9387283236994218,0.640578034682081
v4-loose-shorts,False,274,-125.54999999999998,826.4000000000001,951.95,0.8681128210515259,0.35766423357664234,8.432653061224489,-5.4088068181818185,1.5590597602558012,49.3,-30.7,284.9000000000001,178.78882962033262,-6.264357496269421,2.091240875912409,0.9508394160583941,0.6327007299270073
v3.1-canon,False,181,-139.2,389.65,528.8499999999999,0.736787368819136,0.34806629834254144,6.184920634920635,-4.48177966101695,1.3800144368358416,53.05,-30.7,217.45000000000016,277.8913738019172,-5.490208346373777,2.0939226519337018,0.9366850828729282,0.6225966850828729
v3-canon,False,625,-246.39999999999995,2377.15,2623.55,0.9060814545177336,0.3408,11.160328638497651,-6.367839805825243,1.752608259442752,126.8,-38.2,497.199999999999,218.50142825752533,-3.9683489032935015,2.059485530546624,0.9364627151051625,0.6250286806883365
v4-trend-flip,False,289,-258.55000000000007,1037.65,1296.2,0.8005323252584479,0.3391003460207612,10.588265306122448,-6.786387434554976,1.560221164534321,61.8,-63.2,495.79999999999865,465.75857209957627,-6.1279760268503125,2.5674740484429064,1.059031141868512,0.685674740484429
v3-pctile,False,476,-267.10000000000014,1699.0,1966.1000000000001,0.8641472966787039,0.32563025210084034,10.961290322580645,-6.124922118380063,1.7896211757023481,126.8,-38.2,474.89999999999986,236.5628891656288,-4.634870594882889,2.1455696202531644,0.9604852320675105,0.6373417721518988
v3-armor,False,145,-404.14999999999986,420.1,824.25,0.5096754625417046,0.2206896551724138,13.128125000000002,-7.2942477876106215,1.7997914771003942,204.3,-31.95,578.5999999999992,331.6709658928055,-8.648695910096166,4.5174825174825175,0.9544755244755245,0.7112587412587413
v3-trail,False,543,-479.0,1821.15,2300.15,0.7917527117796666,0.35543278084714547,9.436010362694299,-6.571857142857144,1.4358209799113117,61.8,-38.2,599.4499999999958,585.4003906249961,-7.812402730722163,1.7578558225508318,0.7863770794824398,0.6012754158964879
